charge
charge_density
isoelectric_point
C
K
M
W
Y
AM
AF
AP
RM
RP
RT
NN
NM
NF
DA
DR
DG
DM
CM
EG
EM
QN
QM
GK
GM
GV
HM
HY
IM
LE
LG
LL
LK
LM
LP
LT
LY
KM
MR
MD
MK
MM
FM
PR
PM
PP
SM
SF
TC
TI
TM
TF
TP
WM
WP
YD
YI
YM
VM
_PolarizabilityC1
_SolventAccessibilityC1
_SolventAccessibilityC3
_PolarityC3
_PolarizabilityT12
_SecondaryStrT23
_ChargeT13
_HydrophobicityT12
_PolarizabilityD2001
_PolarizabilityD3001
_SolventAccessibilityD1001
_SolventAccessibilityD1050
_SolventAccessibilityD3001
_SolventAccessibilityD3025
_SolventAccessibilityD3100
_SecondaryStrD1001
_SecondaryStrD2001
_SecondaryStrD3100
_ChargeD1001
_ChargeD1025
_ChargeD2001
_ChargeD3100
_PolarityD1001
_PolarityD2100
_PolarityD3001
_NormalizedVDWVD2025
_NormalizedVDWVD3001
_HydrophobicityD2050
MoreauBrotoAuto_Hydrophobicity6
MoreauBrotoAuto_Hydrophobicity8
MoreauBrotoAuto_Hydrophobicity29
MoreauBrotoAuto_AvFlexibility23
MoreauBrotoAuto_Polarizability18
MoreauBrotoAuto_FreeEnergy28
MoreauBrotoAuto_Steric16
MoreauBrotoAuto_Steric21
MoreauBrotoAuto_Steric22
MoreauBrotoAuto_Steric28
MoranAuto_Hydrophobicity2
MoranAuto_Hydrophobicity4
MoranAuto_Hydrophobicity6
MoranAuto_Hydrophobicity7
MoranAuto_Hydrophobicity9
MoranAuto_Hydrophobicity11
MoranAuto_Hydrophobicity15
MoranAuto_AvFlexibility5
MoranAuto_AvFlexibility9
MoranAuto_FreeEnergy8
MoranAuto_Steric7
MoranAuto_Steric11
GearyAuto_Hydrophobicity4
GearyAuto_AvFlexibility15
GearyAuto_AvFlexibility18
GearyAuto_AvFlexibility19
GearyAuto_AvFlexibility25
GearyAuto_AvFlexibility28
GearyAuto_AvFlexibility29
GearyAuto_AvFlexibility30
GearyAuto_FreeEnergy19
GearyAuto_FreeEnergy20
GearyAuto_FreeEnergy22
GearyAuto_FreeEnergy25
GearyAuto_FreeEnergy26
GearyAuto_FreeEnergy29
GearyAuto_ResidueVol11
GearyAuto_ResidueVol14
GearyAuto_ResidueVol17
GearyAuto_Steric18
GearyAuto_Steric19
GearyAuto_Steric21
GearyAuto_Steric24
GearyAuto_Steric28
GearyAuto_Mutability3
GearyAuto_Mutability4
GearyAuto_Mutability7
GearyAuto_Mutability11
QSOgrant8
QSOgrant9
QSOgrant13
QSOgrant14
QSOgrant22
QSOgrant25
QSOgrant27
QSOSW8
QSOSW9
QSOSW13
QSOSW14
QSOSW22
QSOSW25
QSOSW27
embed_0_23
embed_0_30
embed_0_41
embed_0_51
embed_0_57
embed_0_58
embed_0_99
embed_1_3
embed_1_14
embed_1_49
embed_1_50
embed_1_57
embed_1_73
embed_1_93
embed_1_94
embed_1_99
embed_2_32
embed_2_50
embed_2_51
embed_2_57
embed_2_73
embed_2_94
